Molecule,Te (cm^{-1})
PtC,13262.8
PtC,18627.01
PtH,0
PtH,
PtH,
PtH,22311
PtH,24218
PtH,26962
PtD,0
PtD,22287
PtD,26497
PtO,0
PtO,16995.12
RbH,0
RbH,18219
RhC,0
RhC,9462.94
RhC,10242.75
SbF,0
SbF,796.3
SbF,6816
SbF,13651.1
SbF,21407.5
ScCl,0
ScCl,12431.2
ScCl,17613.3
ScF,0
ScF,
ScF,
ScF,
ScF,10735.4
ScO,0
ScO,16547
SeO,0
SeO,165.9
SeO,5300
SeO,9723.5
SeO,16144
SeO,16458
SeO,16773
SeS,0
SeS,205
SeS,27328.4
SeS,28248.2
SeS,28330
SH,0
SH,31038
SH,59641
SD,0
SD,31039
SD,59581
SiCl,0
SiCl,206.6
SiCl,23113.9
SiCl,34108.6
SiF,0
SiF,22858.3
SiH,0
SiH,24300.4
SiD,0
SiD,2413.8
SiN,0
SiN,8000
SiN,24299.2
SiO,0
SiO,33630
SiO,33874.8
SiO,33947.4
SiO,34018.5
SiO,36487
SiO,38309
SiO,38624
SiO,38823
SiO,42835.4
SnCl,0
SnCl,2356.6
SnCl,19418.4
SnCl,33583.3
SnF,0
SnF,2316.9
SnF,20136.9
SO,0
SO,6350
SO,10510
SO,38306
SO,38462
SO,38622
SO,41629
SrF,0
SrF,15068.3
SrF,15349
SrF,17267.42
SrH,0
SrH,
SrH,
SrH,14340
SrD,0
SrD,14335
SrO,0
SrO,9149
SrO,9400
SrO,10886.59
SrO,24701
SrS,0
SrS,39332.1
TeS,0
TeS,
TeS,23549
TeS,24530
ThO,0
ThO,5321
ThO,10625.54
ThO,11155.57
ThO,11155.57
TiO,0
TiO,96.4
TiO,197.5
TiO,
TiO,
TiO,12025
TiO,14089.91
TiO,14262.8
TiO,14431
TiO,
TiO,16293.5
TiO,16345.1
TiO,16331.3
TlCl,0
TlCl,31049.4
TlF,0
TlF,35186.02
TlF,36863.08
VO,0
VO,12567
VO,12625
VO,12689
VO,12760.8
XeCl,0
XeCl,32405
YbD,0
YbD,
YbD,13008.5
YF,0
YF,
YF,
YF,
YF,15934.2
YO,0
YO,16315
YO,16742.2
ZnH,0
ZnH,23276.9
ZrO,0
ZrO,
ZrO,
ZrO,
ZrO,
ZrO,15443
IrC,0
IrC,
IrC,14413.5
IrC,15149.2
LiD,0
LiD,26513
LiD,34908.8
MgF,0
MgF,27816.1
MgF,37167.3
ScO,15029.8
ScO,15135.9
TiS,0
TiS,90
TiS,185
TiS,11624.3
TiS,11716
TiS,11806
YCl,0
YCl,14907.6
BaS,14570
BeF,49563.9
BeH,50882
BeD,50906
BD,52348
BiH,21263
BiD,21263.7
BiO,28738.2
BO,43174.05
BrCl,0
BrCl,16879.91
BS,36223.4
CaH,15762
CaO,11554.8
CD,26043
CN,25752
CP,29100.4
CuBr,0
CuBr,20498.5
CuBr,23044.7
CuBr,23460.9
CuF,1917.5
CuH,26420.9
CuD,26381.8
GaCl,29859.4
GaF,33427.8
GeF,35010.85
HfO,17562.22
HfO,17562.22
ICl,17363.1
InCl,28560.2
InF,31255.74
MgH,22410.5
MgD,22410.3
MgO,19984
PbO,22285
PbS,21847.4
PS,0
PS,320.8
PS,22894
PS,22987.7
PS,34686.5
ScO,15029.8
ScO,15029.8
ScO,20645.1
SiF,29805.06
SiF,34561.5
SiS,0
SiS,30239.2
SiS,35026.86
SnCl,26695
SnCl,27063
YbD,15326.4
YbD,16778.6
YO,20791
ZnH,27587.7
AuS,0
BeS,25941.6
VN,
TiN,0
TiN,0
SrH,13500.571
AlH,23638.32905
YbF,0
YbF,18788.6502
SrF,15072.09
FeH,0
AlH,44675.3711
LiH,0
LiH,26509.77
LiH,34902.48
LiH,0
LiH,26509.68
LiH,34902.5
LiD,0
LiD,34906.13
LiD,0
LiD,26512.44
LiD,34906.1
