,portion of the data set,Train_rmse_means,Train_rmse_stds,valid_rmse_means,valid_rmse_stds
0,0.5,0.017106034190286924,0.026235029859177087,0.15031258554414875,0.035342509234376915
1,0.6,0.018134631444636663,0.022124414505752706,0.12477945763169514,0.030209515626576117
2,0.7,0.024299500767163713,0.022219195569955698,0.1001570829869063,0.015707844877513883
3,0.8,0.027341687889069863,0.020658785584935956,0.08227894984400937,0.014724874057907494
4,0.9,0.020124967932637964,0.014168309575531049,0.06410698849207928,0.010021391678942209
5,0.95,0.016493926085720555,0.008864655016219787,0.0549917722706445,0.007163194069930375
