,portion of the data set,Train_rmse_means,Train_rmse_stds,valid_rmse_means,valid_rmse_stds
0,0.5,0.028692030408008325,0.058549693115074644,0.38895349635420456,0.09615048468565643
1,0.6,0.01589047862292064,0.02779011167781839,0.2838220470233002,0.07957403601336026
2,0.7,0.0103202828112971,0.017585034503872304,0.1902834283868021,0.06260666491821831
3,0.8,0.005928546329550152,0.008144758256834217,0.12500686796882315,0.025920001229915723
4,0.9,0.007641697172628299,0.0063701337582440995,0.09296843454967484,0.021518424930032445
5,0.95,0.009119141340265043,0.00439965191573214,0.07537657538890598,0.010937772623383565
