,portion of the data set,Train_rmse_means,Train_rmse_stds,valid_rmse_means,valid_rmse_stds
0,0.5,0.0005106526543860359,0.00331423419968373,0.3756414620510648,0.07999503144633546
1,0.6,0.0013696950585453853,0.004040838356001015,0.268921957225697,0.04581745676074221
2,0.7,0.004806255423821283,0.013295353207286333,0.21509435928441292,0.03178779405942623
3,0.8,0.005872569151838365,0.010553259526191601,0.18152435809621964,0.02609866835720216
4,0.9,0.0068099700659902725,0.00370352458270429,0.15551389656272682,0.021412106494452163
5,0.95,0.007750715237008421,0.002893579749728408,0.13716702491054694,0.02333724811167755
