Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
Ag2,107,109,53.99537037,X,0,192.4,,,,,2.531,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
AgO,107,16,13.91869919,X,0,490.2,3.1,0.302,2.5,,2.003,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
AlI,27,127,22.26623377,X,0,316.1,1,0.11769985,0.000558586,,2.5371,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Ar2,40,40,20,X,0,25.74,,0.05975,0.00375,,3.756,0.01051,,"[1] K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, [2] J.F. Ogilvie, Y.H. Wang, J. Mol. Struct. 273 (1992) 277.",[1 ]11/1/1977 [2] 1992,
ArNe,40,20,13.33333333,X $^1 \Sigma^{+}$,0,20.9,,,,,3.43,0.0062,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",2/28/1977 0:00,
ArXe,40,132,30.69767442,X $O^{+},0,23.771,,,,,4.09,,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",[1] 1965 [2] 1976,
As2,75,75,37.4608,X ,0,429.55,1.117,0.10179,0.000333,,2.1026,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,c ,14481.6,314.3,1.17,0.08471,0.00035,,2.3036,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,c ,14644.3,314.3,1.17,0.08471,0.00035,,2.3035,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,e ,19914.7,330,0.9,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,a ,24641.2,337,0.83,0.08664,0.0003,,2.279,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,d ,30818.8,336.7,1.36,0.09222,0.00033,,2.209,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,A ,40349,260.3,,0.07202,,,2.5,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,B ,40925,243.6,,0.0712,,,2.5,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,F ,52221,386,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,G ,54586,377,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,H ,61726,364,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,M ,69607,365,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,N ,72137,319,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
AsS,75,32,22.42990654,X,0,567.94,1.97,0.18476,0.00082,7.8,2.0174,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Au2,197,197,98.483274,X ${}^1\Sigma_{g}^{+}$,0,190.9,0.42,,7.23E-05,0.025,2.4719,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75,
Au2,197,197,98.483274,A $O_{u}^{+}$,19668.1,142.3,0.445,0.025958,9.03E-05,0.035,2.5679,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75,
Au2,197,197,98.483274,B $O_{u}^{+}$,25685.5,179.85,0.68,0.026961,9.63E-05,0.026,2.5197,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75,
AuF,196.967,18.998,17.32678,X $^1 \Sigma^{+}$,0,448,27,0.264344,0.001869,,1.918,3.323058,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schršder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapštke, T. and Schwarz, H., 1994. Definitiver Beweis fŸr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van WŸllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracÐHartreeÐFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005,"1-This re value is taken from the Be given Inclusion of ?e and centrifugal distortion could decrease its value by as much as 0.000015 . 
2- D_0 has been calculated using , omega_{e} and omega_{e}x_{e} and the average of estimated bounds of D_e in ref. [3] (3-3.7 ev) "
AuF,196.967,18.998,17.32678,A $^1 \Pi$,17685,397,26,,,,,3.326189,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schršder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapštke, T. and Schwarz, H., 1994. Definitiver Beweis fŸr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van WŸllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracÐHartreeÐFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005,"1-This re value is taken from the Be given Inclusion of ?e and centrifugal distortion could decrease its value by as much as 0.000015 . 
2- D_0 has been calculated using , omega_{e} and omega_{e}x_{e} and the average of estimated bounds of D_e in ref. [3] (3-3.7 ev) "
AuF,196.967,18.998,17.32678,B $^1 \Sigma^{+}$,17757,409,24,,,,,3.325383,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schršder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapštke, T. and Schwarz, H., 1994. Definitiver Beweis fŸr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van WŸllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracÐHartreeÐFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005,"1-This re value is taken from the Be given Inclusion of ?e and centrifugal distortion could decrease its value by as much as 0.000015 . 
2- D_0 has been calculated using , omega_{e} and omega_{e}x_{e} and the average of estimated bounds of D_e in ref. [3] (3-3.7 ev) "
B2,11,11,5.50465267,X ${}^3\Sigma_{g}^{-}$,0,1051.3,9.35,1.212,0.014,,1.59,3.02,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
B2,11,11,5.50465267,A ${}^3\Sigma_{u}^{-}$,30573.4,937.4,2.6,1.16,0.011,,1.625,3.02,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Bi2,209,209,104.490201,X',-1500,154.3,0.42,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,X ${}^1\Sigma_{g}^{+}$,0,172.71,0.341,,5.50E-05,0.015,2.6596,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,B,5000,127.05,0.29,0.0179,4.60E-05,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,A',8000,141.2,0.37,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,A $O_{u}^{+},17739.3,132.49,0.302,,5.30E-05,,2.863,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,E,26504.7,63.5,8.5,0.0425,0.00015,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,G,29609,107,0.2,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,H,32657.1,,,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,I,33216.7,156.4,6.1,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,C,36456,155.2,2.3,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,D,42228,129,9.7,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
Bi2,209,209,104.490201,y,15746.3,94.7,5.2,,,,,2.04,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",May-76,
BiF,209,19,17.41666667,X,0,513,2.3,0.23,1.5,,2.051,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
BiI,209,127,78.99702381,X,0,163.8,0.28,0.027222814,6.98E-05,0.29959,2.8005,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Br2,79,79,39.459166,X ${}^1\Sigma_{g}^{+}$,0,325.321,0.0774,0.082107,0.0003187,0.2092,2,1.9797,10.52,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Br2,79,79,39.459166,A ${}^3\Pi_{u} \ l_{u}$,13905,153,2.7,,0.0008,,2.695,1.9797,10.52,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Br2,79,79,3.9459166,B ${}^3\Pi_{u} \ O_{u}^{+}$,15902.47,167.607,1.6361,0.059589,0.0004891,0.3013,2.67757,1.9797,10.52,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Br2,79,79,39.459166,D,48499,162,0.29,,,,,1.9797,10.52,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
BrF,79,19,15.31632653,X,0,670.75,4.054,0.35584,0.00261,0.401,1.75894,2.54,11.78,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
BrO,79,16,13.30526316,X,0,778.7,6.8,0.429598,0.003639,0.523,1.717,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
C2,12,12,6,X ${}^1\Sigma_{g}^{+}$,0,1854.71,13.34,1.81984,0.01765,69.2,1.24253,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,a ${}^3 \Pi_{u}$,716.24,1641.35,11.67,1.63246,0.01661,64.4,1.3119,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,b ${}^3 \Sigma_{g}^{-}$,6434.27,1470.45,11.19,1.49852,0.01634,62.2,1.36928,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,A ${}^1\Pi_{u}$,8391,1608.35,12.078,1.61634,0.01686,64.4,1.31843,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,c ${}^3 \Sigma_{u}^{+}$,13312.1,1961.6,13.7,1.87,,,1.23,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,d ${}^3\Pi_{g}$,20022.5,1788.22,16.44,1.7527,0.01608,67.4,1.2661,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,C ${}^1 \Pi_{g}$,34261.3,1809.1,15.81,1.7834,0.018,68,1.2552,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,e ${}^3\Pi_{g}$,40796.65,1106.56,39.26,1.1922,0.0242,63,1.5351,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,D ${}^1\Sigma_{g}^{+}$,43239.44,1829.57,13.94,1.8332,0.0196,73.2,1.238,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,E ${}^1 \Sigma_{g}^{+}$,55034.7,1671.5,40.02,1.7897,0.0387,83,1.2529,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,f ${}^3 \Sigma_{g}^{-}$,71045.8,1360.5,14.8,1.448,0.04,100,1.393,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,g ${}^3\Delta_{u}$,73183.6,1458.06,,1.5238,0.017,66,1.3579,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
C2,12,12,6,F ${}^1\Pi_{u}$,75456.9,1557.5,,1.645,0.019,60,1.307,6.21,12.15,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-76,
CaCl,40,35,18.66666667,X,0,367.53,1.31,0.15195,0.00078,1,2.439,4.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
CaD,40.078,2,1.904938448,X $^2 \Sigma^{+}$,0,929.909,9.818,2.194719,0.0357,4.88E-05,2.0014529,1.72,,"[1] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.
[2] GharibNezhad, E., Shayesteh, A. and Bernath, P., 2012. Fourier transform emission spectra of the A2??X2?+ and B2?+?X2?+ transitions of CaD. Journal of Molecular Spectroscopy, 281, pp.47-50.",[1] JUL 1976 [2] 2012,"1- D0 >= 1.72 ev from the predissociation in C $^2 \Sigma^{+}$, assuming dissociation into Ca($^3p$) + D( $^2s$)."
CaD,40.078,2,1.904938448,A $^2 \Pi$,14407.604,957.33,10.415,2.24822,,,1.977495,1.72,,"[1] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.
[2] GharibNezhad, E., Shayesteh, A. and Bernath, P., 2012. Fourier transform emission spectra of the A2??X2?+ and B2?+?X2?+ transitions of CaD. Journal of Molecular Spectroscopy, 281, pp.47-50.",[1] JUL 1976 [2] 2012,"1- D0 >= 1.72 ev from the predissociation in C $^2 \Sigma^{+}$, assuming dissociation into Ca($^3p$) + D( $^2s$)."
CaD,40.078,2,1.904938448,B $2 \Sigma^{+}$,15751.57,925.84,12.417,2.28046,,,1.963467,1.72,,"[1] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.
[2] GharibNezhad, E., Shayesteh, A. and Bernath, P., 2012. Fourier transform emission spectra of the A2??X2?+ and B2?+?X2?+ transitions of CaD. Journal of Molecular Spectroscopy, 281, pp.47-50.",[1] JUL 1976 [2] 2012,"1- D0 >= 1.72 ev from the predissociation in C $^2 \Sigma^{+}$, assuming dissociation into Ca($^3p$) + D( $^2s$)."
CCl,12,35,8.936170213,X,0,866.7,6.2,0.694,0.0067,,1.645,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
CdH,114,1,0.991304348,X,0,1337.1,,5.323,,,1.781,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Cl2,35,35,17.4844268,X ${}^{1}\Sigma_{g}^{+}$ ,0,559.72,2.675,0.24399,0.00149,1.86,1.9879,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,A ${}^{3}\Pi_{1u}$  ,17440,265,5,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,B ${}^{3}\Pi_{o^{+}u}$ ,17809,259.5,5.3,0.1625,0.00212,2.365,2.435,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,D ,53568,440,1.5,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,E ,57953,249.75,0.875,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,F ,58263,442,,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,G ,58629,208,,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,H ,59432,510,,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,I ,61438,262.3,0.812,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,J ,61638,520,,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,K ,64024,460,,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,M ,72853,636,4,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
Cl2,35,35,17.4844268,p ,74405,621,3,,,,,2.479367,11.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76,
CoF,58.933,18.998,14.36667224,X $^3 \Phi_{4}$,0,677.59,2.16,0.389824,0.003317,,1.734924,4.46736976,,"[1] Nadhem, Q., Supriya, B. and Behere, S., 2015. Franck-Condon Factors and r-Centroids for Several Systems of CoF Molecule. International Letters of Chemistry, Physics and Astronomy, 58, pp.90-101. 
[2] R.S. Ram, Bernath P.F, Davis S.P, ÒThe low?lying electronic states of CoFÓ, J.Chem.Phys. 104, 6949(1996); 10.1063/1.471411
[6] A. Boldyrev and J. Simons, Periodic Table of Diatomic
Molecules, Wiley, New York, 1997
[7]  K.P. Jensen, B.O. Roos, U. Ryde, Performance of density functionals for first row
transition metal systems, J. Chem. Phys. 126 (2007) 014103, http://dx.doi.org/
10.1063/1.2406071.
[8] H. Wang, X. Zhuang, T.C. Steimle, The permanent electric dipole moments of
cobalt monofluoride, cof, and monohydride, CoH, J. Chem. Phys. 131 (2009)
114315, http://dx.doi.org/10.1063/1.3226672.
[9] de Moraes, M. and Aoto, Y., 2022. Multi-reference and multi-occupancy character of the cobalt monofluoride. Journal of Molecular Spectroscopy, 385, p.111611.",[1] 2015 [2] 1996 [6] 1997 [7] 2007 [8] 2009 [9] 2022,
CoF,58.933,18.998,14.36667224,G $^3 \Phi_{4}$,10385.4033,580.3556,2.72447,0.3530152,0.0026928,,1.823137,4.46736976,,"[1] Nadhem, Q., Supriya, B. and Behere, S., 2015. Franck-Condon Factors and r-Centroids for Several Systems of CoF Molecule. International Letters of Chemistry, Physics and Astronomy, 58, pp.90-101.
[3] Ram R.S., Bernath P.F., Davis S.P., ÒFourier Transform Emission Spectroscopy of the [10.3]3?i-X 3?i System of CoFÓ, J.Mol.Spectrosc. 173, 158(1995); 10.1006/jmsp.1995.1226 .",[1] 2015 [3] 1995,
CoF,58.933,18.998,14.36667224,K $^3 \Phi_{4}$,18912.2894,673.72,4.28,0.3781,0.0029,,1.761624,4.46736976,,"[1] Nadhem, Q., Supriya, B. and Behere, S., 2015. Franck-Condon Factors and r-Centroids for Several Systems of CoF Molecule. International Letters of Chemistry, Physics and Astronomy, 58, pp.90-101. 
[4] Xiaopeng Zhang, Jingru Guo, Tingting Wang, Linsen Pei, Yang Chen, and Congxiang Chen,Ò Visible laser spectroscopy of cobalt monofluorideÓ, J.Mol.Spectrosc. 220, 209(2003);  10.1016/S0022-2852(03)00130-9  
[5] Adam A.G., Hamilton W.D., ÒA Hund's Case (a) Analysis of the [18.8]3?iÐX
3?i Electronic Transition of CoFÓ, J.Mol.Spectrosc. 206, 139. (2001); 10.1006/jmsp.2000.8292",[1] 2015 [4] 2003 [5] 2001,
CoF,58.933,18.998,14.36667224,L $^3 \Phi_{4}$,19252.1574,646.37,2.76,0.3785,0.0028,,1.76069,4.46736976,,"[1] Nadhem, Q., Supriya, B. and Behere, S., 2015. Franck-Condon Factors and r-Centroids for Several Systems of CoF Molecule. International Letters of Chemistry, Physics and Astronomy, 58, pp.90-101. 
[4] Xiaopeng Zhang, Jingru Guo, Tingting Wang, Linsen Pei, Yang Chen, and Congxiang Chen,Ò
Visible laser spectroscopy of cobalt monofluorideÓ, J.Mol.Spectrosc. 220, 209(2003); 
10.1016/S0022-2852(03)00130-9 
[3] Ram R.S., Bernath P.F., Davis S.P., ÒFourier Transform Emission Spectroscopy of the [10.3]3?i-X 3?i System of CoFÓ, J.Mol.Spectrosc. 173, 158(1995); 10.1006/jmsp.1995.1226 . 
[5] Adam A.G., Hamilton W.D., ÒA Hund's Case (a) Analysis of the [18.8]3?iÐX
3?i Electronic 
Transition of CoFÓ, J.Mol.Spectrosc. 206, 139. (2001); 10.1006/jmsp.2000.8293",[1] 2015 [4] 2003 [5] 2001,
CoF,58.933,18.998,14.36667224,[20.6] $^3 \Gama_{5}$,20679.3781,630.54,3.4,0.3702,0.0023,,1.780322,4.46736976,,"[1] Nadhem, Q., Supriya, B. and Behere, S., 2015. Franck-Condon Factors and r-Centroids for Several Systems of CoF Molecule. International Letters of Chemistry, Physics and Astronomy, 58, pp.90-101. 
[4] Xiaopeng Zhang, Jingru Guo, Tingting Wang, Linsen Pei, Yang Chen, and Congxiang Chen,Ò
Visible laser spectroscopy of cobalt monofluorideÓ, J.Mol.Spectrosc. 220, 209(2003); 
10.1016/S0022-2852(03)00130-9 
[3] Ram R.S., Bernath P.F., Davis S.P., ÒFourier Transform Emission Spectroscopy of the [10.3]3?i-X 3?i System of CoFÓ, J.Mol.Spectrosc. 173, 158(1995); 10.1006/jmsp.1995.1226 . 
",[1] 2015 [4] 2003 ,
CoO,58.9,16,12.58210948,X $^4 \Delta (a^{4} F)$,0,862.4,5.13,,0.0039883,,1.6279,,,"[1]Barnes, M.; Clouthier, D. J.; Hajigeorgiou, P. G.; Huang, G.; Kingston, C. T.; Merer, A. J.; Metha, G. F.; Peers, J. R. D.; Rixon, S. J. J. Mol. Spectrosc. 1997, 186, 374. [2] Liu, F; Li, F.-X.; Armentrout, P. B. J. Chem. Phys. 2005, 123, 064304. [3]  McLamarrah, S. K.; Sheridan, P. M.; Ziurys, L. M. Chem. Phys. Lett. 2005, 414, 301.",[1] 1997 [2] 2005 [3] 2005,
CrC,52,12,9.75,X $^3 \Sigma^{-}$,0,833,39.5,,0.0078,,1.63,4.12,,"D. J. Brugh, M. D. Morse, A. Kalemos and A. Mavridis, J. Chem. Phys., 2010, 133, 034303.",2010,"[1] D_e value, taken with respect to the adiabatic atoms; see reference. [2] ZPE=407 cm^-1 ; see reference."
CrC,52,12,9.75,A $^3 \Delta$,4683,879,8,,6.1,,1.622,4.12,,"D. J. Brugh, M. D. Morse, A. Kalemos and A. Mavridis, J. Chem. Phys., 2010, 133, 034303.",2010,"[1] D_e value, taken with respect to the adiabatic atoms; see reference. [2] ZPE=407 cm^-1 ; see reference."
