Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
Se2,80,80,39.9582627,$D \ \left(1_{u}\right)$,53075,426.2,,0.0965,,,2.091,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77,
Se2,80,80,39.9582627,$E \ O _{ u }^{+}$,54752.5,403.9,1.3,0.0924,0.00033,,2.137,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77,
Se2,80,80,39.9582627,$F \ \left(1_{u}\right)$,55421,430.2,,,,,,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77,
SeH,78.96,1.007,0.994319157,X,0,2400,,7.8,,,1.47,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SF,32,19,11.92156863,X,0,837.6,4.47,0.5552,0.00045,,1.596,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Si2,28,28,13.9884643,$X \ ^3 \Sigma_{g}^{-}$,0,510.98,2.02,0.239,0.00135,2.1,2.246,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77,
Si2,28,28,13.9884643,$H \ ^3 \Sigma_{u}^{-}$,24429.15,275.3,1.99,0.1712,0.00135,3,2.653,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77,
Si2,28,28,13.9884643,$K \ ^3 \Sigma_{u}^{-}$,30794,462.6,5.95,0.2186,0.00316,,2.348,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77,
Si2,28,28,13.9884643,$N \ ^3 \Sigma_{u}^{-}$,46789.1,458.6,4.8,0.2193,0.0025,2.3,2.344,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77,
Si2,28,28,13.9884643,$O \ ^3 \Sigma_{u}^{-}$,53395.58,404.2,3,0.2225,0.003,5,2.327,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77,
SiBr,28,79,20.6728972,X,0,424,1,0.16,,,2.26,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SiI,28,127,22.94193548,X,0,364,1.2,0.12,,,2.4,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SiSe,28,80,20.74074074,X,0,580,1.78,0.1920117,0.0007767,0.842,2.058324,5.64,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SnI,120,126.9,61.67679222,X $^2 \Pi_{1/2}$,0,197.8,0.4198,,,,2.7323453,,,"C. J. Evans, L.-M. E. Needham, N. R. Walker, H. K¬ockert, D. P. Zaleski and S. L. Stephens, J. Chem. Phys., 2015, 143, 244309.",2015,
SnO,120,16,14.11764706,X,0,814.6,3.73,0.3557191,0.0021429,2.66,1.832505,5.49,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SnS,120,32,25.26315789,X,0,487.26,1.358,0.13686139,0.00050563,4.24,2.209026,4.77,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SnSe,120,80,48,X,0,331.2,0.736,0.06499777,0.00017048,1.1,2.325601,4.2,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SnTe,120,130,62.4,X,0,259,0.5,0.0425,0.0001,,2.523,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
SrCl,88,35,25.04065041,X,0,302.4,0.95,0.1016,0.00045,,2.576,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
