Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
AlBr,A $^1\Pi$,20.1070892,35879.5,297.2,6.4,0.1555,0.00216,1.8,2.322,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,X $^1\Sigma^+$,15.2301459,0,481.3,1.95,0.24393,0.00161,2.5027,2.130113,5.12,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,a $^3\Pi$,15.2301459,24528,524.35,2.175,0.25,0.002,,2.1,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,a $^3\Pi$,15.2301459,24593.84,524.35,2.175,0.25,0.002,,2.1,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,a $^3\Pi$,15.2301459,24658,524.35,2.175,0.25,0.002,,2.1,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,A $^1\Pi$,15.2301459,38254,449.96,4.37,0.259,0.006,,2.124,,,"B. M. Smirnov, Reference Data on Atomic Physics and Atomic Processes. Springer-Verlag,   Berlin,   Germany, 2008.",Nov-75
AlD,X $^1\Sigma^+$,1.87419817,0,1211.95,15.14,3.3186,0.0697,970,1.6463,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlD,A $^1\Pi$,1.87419817,23653,1014.6,86,3.235,0.122,1675,1.667,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlF,X $^1\Sigma^+$,11.148474,0,802.26,4.77,0.55248,0.00498,10.464,1.654369,6.89,9.8,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-76
AlF,a $^3\Pi$,11.148474,27241,827.8,3.9,0.55703,0.00453,9.82,1.6476,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-76
AlF,A $^1\Pi$,11.148474,43949.2,803.94,5.99,0.5564,0.00534,10.56,1.6485,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-76
AlF,a $^3\Pi$,11.148474,27239.4529,830.807,4.64364,0.557376,0.004798,,1.64708,,,"J. Chem. Phys. 156, 124306 (2022)",Feb-22
AlH,X $^1\Sigma^+$,0.97153602,0,1682.56,29.09,6.3907,0.1858,3565,1.6478,3.06,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlH,C $^1\Sigma^+$,0.97153602,44676,1575.3,125.5,6.664,0.544,5500,1.6136,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlH,A$^1\Pi$,0.97153602,23638.32905,1416.49564,166.86,6.386417,0.732541,3897,1.6483,,,"W. Szajna, M. Zachwieja, Eur. Phys. J. D, 55, 549-555 (2009)",2009
AlH,$C^1\Sigma^+$,0.97153602,44675.3711,1575.3357,125.5,6.66804,6.66804,,1.613132,,,"W. Szajna, M. Zachwieja, J. Mol. Spectrosc., 260, 130-134 (2010)",2010
AlI,X,22.26623377,0,316.1,1,0.11769985,0.000558586,,2.5371,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
AlO,X $^2\Sigma^+$,10.04195071,0,979.23,6.97,0.64136,0.0058,10.8,1.6179,5.27,9.53,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-75
AlO,A $^2\Pi$,10.04195071,5341.7,728.5,4.15,0.5333,,11,1.7708,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-75
AlO,A $^2\Pi$,10.04195071,5470.6,728.5,4.15,0.5374,,11,1.7708,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-75
AlS,X $^2\Sigma^+$,14.6327889,0,617.12,3.33,0.2799,0.0018,2.2,2.164,3.84,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-75
AlS,A $^2\Sigma^+$,14.6327889,23433.8,510.91,1.45,0.2461,0.0012,2.1,2.029,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-75
Ar2,X,20,0,25.74,,0.05975,0.00375,,3.756,0.01051,,"[1] K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, [2] J.F. Ogilvie, Y.H. Wang, J. Mol. Struct. 273 (1992) 277.",[1 ]11/1/1977 [2] 1992
ArNe,X $^1 \Sigma^{+}$,13.33333333,0,20.9,,,,,3.43,0.0062,,"[1] Bosomworth, D.R.;КGush, H.P.,КCollision-induced absorption of compressed gases in the far infrared, Part II,КCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369.",2/28/1977 0:00
ArXe,X $O^{+},30.69767442,0,23.771,,,,,4.09,,,"[1] Bosomworth, D.R.;КGush, H.P.,КCollision-induced absorption of compressed gases in the far infrared, Part II,КCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369.",
As2,X ,37.4608,0,429.55,1.117,0.10179,0.000333,,2.1026,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,c ,37.4608,14481.6,314.3,1.17,0.08471,0.00035,,2.3036,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,c ,37.4608,14644.3,314.3,1.17,0.08471,0.00035,,2.3035,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,e ,37.4608,19914.7,330,0.9,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
