Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
CP,B $^2\Sigma^+$,8.64911823,29100.4,836.32,5.917,0.6829,0.00628,18.2,1.6894,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
CrC,X $^3 \Sigma^{-}$,9.75,0,833,39.5,,0.0078,,1.63,4.12,,"D. J. Brugh, M. D. Morse, A. Kalemos and A. Mavridis, J. Chem. Phys., 2010, 133, 034303.",2010
CrC,A $^3 \Delta$,9.75,4683,879,8,,6.1,,1.622,4.12,,"D. J. Brugh, M. D. Morse, A. Kalemos and A. Mavridis, J. Chem. Phys., 2010, 133, 034303.",2010
CrCl,X $^6 \Sigma^{+}$,21.07987728,0,396.662,,0.1675873,0.00097171,1.183,2.194,3.75,,"[1] Bencheikh, M., Koivisto, R., Launila, O. and Flament, J., 1997. The low-lying electronic states of CrF and CrCl: Analysis of the A?6?+?X?6?+ system of CrCl. The Journal of Chemical Physics, 106(15), pp.6231-6239. [2] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.",[1] 1997 [2] 1979
CrCl,A $^6 \Sigma^{+}$,21.07987728,9271.11,379.39,,0.15651,-0.00012,,2.27,3.75,,"[1] Bencheikh, M., Koivisto, R., Launila, O. and Flament, J., 1997. The low-lying electronic states of CrF and CrCl: Analysis of the A?6?+?X?6?+ system of CrCl. The Journal of Chemical Physics, 106(15), pp.6231-6239. [2] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.",[1] 1997 [2] 1980
CrF,X $^6 \Sigma^{+}$,13.9141337,0,664.105,4.22096,0.3808183,0.00309611,5.0481,1.7839,4.57,,"Wallin, S., Koivisto, R. and Launila, O., 2022.КSpectroscopy of CrF: Rotational analysis of the B?6?РX?6?+ band system in the 1.2 ?m region.",1996
CrF,A $^6 \Sigma^{+}$,13.9141337,9623.67,580.52,1.795,0.338567,0.001971,4.39,1.8916,4.57,,"Wallin, S., Koivisto, R. and Launila, O., 2022.КSpectroscopy of CrF: Rotational analysis of the B?6?РX?6?+ band system in the 1.2 ?m region.",1996
CrF,B $^6 \Pi$,13.9141337,8134,629.283,,0.3627876,0.0026723,4.7423,1.8277,4.57,,"[1]Wallin, S., Koivisto, R. and Launila, O., 2022.КSpectroscopy of CrF: Rotational analysis of the B?6?РX?6?+ band system in the 1.2 ?m region. [2] Bencheikh, M., Koivisto, R., Launila, O. and Flament, J., 1997. The low-lying electronic states of CrF and CrCl: Analysis of the A?6?+?X?6?+ system of CrCl. The Journal of Chemical Physics, 106(15), pp.6231-6239.",[1]1996 [2]1997
CrH,X $^6\Sigma^+$,0.98864215,0,1581.2,32,6.22,0.179,3470,1.6557,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-74
CrH,A $^6\Sigma^+$,0.98864215,11611,1479.4,21.5,5.337,0.131,2470,1.787,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-74
CrO,X $^5\Pi$,12.22902549,0,898.4,6.75,,,,1.615,4.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-74
CrO,B $^5\Pi$,12.22902549,16586,750.5,9.4,,,,1.703,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Dec-74
CS,X $^1\Sigma^+$,8.72519418,0,1285.08,6.46,0.82005,0.005924,14.3,1.534941,7.35,11.335,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
CS,a $^3\Pi$,8.72519418,27661,1135.1,7.73,0.7851,0.0072,19.4,1.5687,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
CS,a' $^3\Sigma^+$,8.72519418,31331.4,830.7,5.04,0.6489,0.006,15.8,1.7255,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
CS,d $^3\Delta$,8.72519418,35675,795.6,4.91,0.6367,0.0061,16.3,1.742,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
CS,e $^3\Sigma^-$,8.72519418,38683,752,4.7,0.6194,0.004,16.8,1.766,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
CS,A $^1\Pi$,8.72519418,38904.4,1073.4,10.1,0.78,0.0063,16.5,1.5739,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-76
Cs2,$X \ {}^{1}\Sigma_{g}^{+}$,66.452718,0,,,,2.64E-05,,4.47,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76
Cs2,$a \ {}^{3}\Sigma_{u}^{+}$,66.452718,3140,,,,,,,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76
Cs2,$B \ {}^{1}\Pi_{u}^{+} \ l_u$,66.452718,13043.88,34.329,,,,,,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76
Cs2,$C \ {}^{1}\Pi_{u}^{+} \ l_u$ ,66.452718,15948.6,29.703,0.0576,0.01347,7.85E-05,0.121,4.34,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76
CsBr,X,49.56132075,0,149.66,0.374,0.03606925,0.000124012,8.3801,3.072251,4.17,7.72,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
CsCl,X,27.70833333,0,214.17,0.731,0.07209149,0.00033756,0.32675,2.906272,4.58,8.32,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
CSe,X,10.42517462,0,1035.36,4.86,0.575,0.00379,7.1,1.67647,5.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
CsF,X,16.625,0,352.56,1.615,0.18436969,0.00117562,0.20168,2.345351,5.15,8.8,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
CsH,X $^1\Sigma^+$,1.00024037,0,891,12.93,2.7099,0.0579,1130,2.4938,1.81,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-76
CsH,A $^1\Sigma^+$,1.00024037,17845.8,165.7,-7.77,1.075,-0.021,980,3.96,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-76
CsI,X,64.96538462,0,119.178,0.2505,0.023627357,6.83E-05,3.7146,3.315192,3.56,7.25,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
Cu2,$X \ ^1\Sigma^+_g$,31.4647949,0,264.55,1.025,0.108743,0.000614,0.716,2.2197,2.03,7.37,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Dec-74
Cu2,$A ({}^{1}\Pi_{u})$,31.4647949,20433.2,191.9,0.348,0.08185,0.00062,0.38,2.5584,2.03,7.37,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Dec-74
Cu2,$B \ ^1\Sigma^+_u$,31.4647949,21758.35,242.15,2,0.09889,0.000606,0.63,2.3276,2.03,7.37,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Dec-74
CuBr,X $^1\Sigma^+$,35.0114277,0,314.8,0.96,0.10192625,0.00045214,0.3,2.261,3.43,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
CuBr,A $^1\Pi$,35.0114277,20498.5,296.13,1.01,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
CuBr,B $^1\Pi$,35.0114277,23044.7,284.22,1.32,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
CuBr,C $^1\Sigma^+$,35.0114277,23460.9,294.7,1.06,0.0942,0.00041,0.42737,2.173441,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
CuCl,X,22.75,0,415.3,1.58,0.1763,0.001,,2.051,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
CuD,X $^1\Sigma^+$,1.95163876,0,1384.14,18.97,4.0381,0.0917,1362,1.46255,2.76,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-75
CuD,A $^1\Pi$,1.95163876,23412.9,1210.9,19.5,3.521,0.0096,1160,1.5663,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-75
CuD,B $^3\Pi_0^+$,1.95163876,26381.8,1222,35.7,3.317,0.086,1200,1.6137,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-75
CuF,X $^1\Sigma^+$,14.5928363,0,622.65,3.95,0.3794,0.0032298,5.63,1.74493,4.42,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuF,A $^1\Pi$,14.5928363,17543.4,649.2,4,0.3675,,,1.773,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuF,B $^1\Sigma^+$,14.5928363,1917.5,657,3.92,0.3716,0.0032,4.8,1.7632,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuH,X $^1\Sigma^+$,0.99193919,0,1941.26,37.51,7.9441,0.2563,5200,1.46263,2.73,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-75
CuH,A $^1\Sigma^+$,0.99193919,23434.2,1698.4,44,6.874,0.263,4350,1.5724,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-75
CuH,B $^3\Pi_0^+$,0.99193919,26420.9,1669.7,51.2,6.582,0.29,4050,1.6069,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-75
CuI,X $^1\Sigma^+$,42.0685643,0,264.5,0.6,0.07328742,0.0002839,0.22439,2.338324,3.27,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuI,A $^1\Pi$,42.0685643,19734.2,213.3,2.22,0.06761,0.00042,0.27,2.435,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuO,X$_1$ $^2\Pi$,12.75337037,0,640.17,4.43,0.44454,0.00456,8.5,1.72437,2.79,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuO,X$_2$ $^2\Pi$,12.75337037,279.02,636.18,4.36,0.44415,0.00449,8.4,1.72513,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuO,A $^2\Sigma^+$,12.75337037,16491.3,631.02,6,0.43387,0.00475,7.93,1.74543,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-75
CuS,X $^2\Pi$,21.2007816,0,415,1.75,0.1891,,1.8,2.051,2.8,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
CuS,X $^2\Pi$,21.2007816,433.4,413.4,1.65,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
CuS,A $^2\Sigma^+$,21.2007816,17946.1,375.2,3.66,0.1806,,1.8,2.099,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
CuSe,X $^2\Pi$,35.2065168,0,302.37,0.99,0.10774,,0.59,2.1081,2.55,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
CuSe,X $^2\Pi$,35.2065168,1590.9,302.37,0.99,0.10775,,0.59,2.1081,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
CuSe,A $^2\Sigma^+$,35.2065168,17960.4,253,2.74,0.10169,,0.7,2.1699,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
CuTe,X,42.3933,0,252.67,0.701,0.07205,0.00028,0.265,2.349,2.35,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-75
CuTe,A,42.3933,15991.92,200.58,2.009,0.0673,0.00052,0.341,2.431,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-75
D2,X ${ }^{1} \Sigma_{g}^{+} \ 1 s \sigma$,1,0,3115.5,61.82,30.4436,1.0786,114100,0.74152,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
DF,X $^1\Sigma^+$,1.8210454,0,2998.192,45.761,11.0102,0.3017,5940,0.91694,5.938,16.058,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
DF,B $^1\Sigma^+$,1.8210454,84824,839.4,8.9,2.121,0.00712,554.3,2.0891,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
DT,X ,1.2,0,2845.52,51.386,25.395,0.8221,80900,0.7414,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
F2,$X \ ^1\Sigma^+_g$,9.4992023,0,916.64,11.236,0.89019,0.013847,330,1.41193,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
F2,$F \ ^1\Pi_g \ (3 s \sigma)$,9.4992023,93099,1133.34,9.173,1.047,0.012,,1.302,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
F2,$f\left({ }^{3} \Pi_{1 g}\right)(3 s \sigma)$,9.4992023,97314,,,1.005,,,1.329,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
F2,$h \ ^3\Pi_{1u} \ (3p\sigma)$,9.4992023,104904,1100,,1.022,0.016,,1.318,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
F2,$H \ ^1\Pi_{1u} \ (3p\sigma)$,9.4992023,105520.14,1088.19,9.875,1.021,0.014,,1.318,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
F2,I $^{^{1}} \Sigma_{ u }^{+} \ (4 p \pi)$,9.4992023,113841,1108.92,,0.8009,,180,1.4886,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
F2,$J \ ^1\Pi_u \ (4 p \sigma)$,9.4992023,116409,1032.6,,1.041,,,1.306,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67
FeH,X $^4\Delta_{7/2}$,0.9901,0,1831.8,34.86,,,,,,,"Dulick M. et al, ApJ, 594, 651 (2003)",Sep-03
FeO,X,12.43616941,0,970,,,,,1.6,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
FeO,X,47.5255102,0,221,0.65,0.0548944,0.0001862,1.35,2.54318,3.99,9.09,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
GaBr,X,37.26,0,263,0.81,0.0818393,0.0003207,0.32,2.35248,4.31,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
GaCl,X $^1\Sigma^+$,23.1990149,0,365.3,1.2,0.1499045,0.0007936,1.01,2.20169,4.92,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaCl,A $^3\Pi_0^+$,23.1990149,29527.2,395.3,2.3,0.15779,,,2.146,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaCl,B $^3\Pi_1$,23.1990149,29859.4,395.3,2.5,0.15686,,,2.1523,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaF,X $^1\Sigma^+$,14.8932747,0,622.2,3.2,0.3595161,0.0028642,5,1.774369,5.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaF,A $^3\Pi_0^+$,14.8932747,33105.5,663.02,2.18,0.37098,0.00302,,1.7467,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaF,B $^3\Pi_1$,14.8932747,33427.8,662.1,1.45,0.37198,0.00302,,1.68167,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaH,X $^1\Sigma^+$,0.99330124,0,1604.52,28.77,6.137,0.181,3420,1.663,2.84,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaH,a $^3\Pi_0^-$,0.99330124,17333,1492.5,,6.358,0.22,2430,1.6338,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaH,a $^3\Pi_0^+$,0.99330124,17337.08,1640.54,62.72,6.394,0.276,2620,1.6292,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaH,a $^3\Pi_1$,0.99330124,17622.01,1631.17,58.22,6.692,0.326,4890,1.5925,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaH,a $^3\Pi_2$,0.99330124,,,,6.811,,6200,1.5785,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-76
GaH,A $^1\Pi$,0.99330124,,,,5.1,,,1.82,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GaI,X,44.70918367,0,216.6,0.5,0.0569347,0.000189,0.157,2.57467,3.47,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
GaO,X $^2\Sigma^+$,12.98224643,0,767.5,6.24,0.4271,,3.7,1.7436,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GaO,B $^2\Sigma^+$,12.98224643,25706.9,762.9,3.44,0.4013,,2.9,1.7988,3.91,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeD,X $^2\Pi$,1.95923588,0,1320.09,19,3.4145,0.0702,832,1.5874,3.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeD,A $^2\Delta$,1.95923588,25460,1027.82,65.73,3.286,0.167,1400,1.6182,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeF,X $^2\Pi_{1/2}$,15.1139772,0,665.67,3.15,0.36578,0.002675,4.47,1.7452,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeF,X $^2\Pi_{3/2}$,15.1139772,934.33,667.33,3.15,0.3666,0.002675,4.5,1.7452,5,7.46,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeF,A $^2\Sigma^+$,15.1139772,23316.65,413.03,1.124,0.32039,0.00307,7.78,1.86582,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeF,B $^2\Sigma^+$,15.1139772,35010.85,796.99,3.613,0.3944,0.00255,3.88,1.86582,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeH,X $^2\Pi$,0.99389799,0,1833.77,37,6.725,0.1916,3260,1.588,3.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeH,a $^4\Sigma^-$,0.99389799,16747,,,6.7654,,4600,1.5834,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeH,A $^2\Delta$,0.99389799,25454,1185.15,127,6.535,0.6196,5710,1.611,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeO,X $^1\Sigma^+$,13.14962564,0,985.5,4.29,0.4856962,0.0030756,4.72,1.624648,6.78,11.1,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeO,a' $^3\Sigma^+$,13.14962564,27733,633.3,2.7,0.389,,,1.815,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeO,a $^3\Pi_1$,13.14962564,32132,734.9,5.3,0.438,,,1.711,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeO,A $^1\Pi$,13.14962564,37766.9,650.4,4.21,0.4133,0.0033,8.2,1.761,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-76
GeS,X,22.33962264,0,575.8,1.8,0.186565757,0.000749103,0.7883,2.012086,5.67,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
GeSe,X,38.44155844,0,408.7,1.36,0.096340508,0.00028904,2.2071,2.134629,4.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
GeTe,X,47.15686275,0,323.9,0.75,0.06533821,0.00017246,1.18,2.340165,4.24,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
H''2,X ${ }^{1} \Sigma_{g}^{+} \ 1s \sigma$,1.50802486,0,,,,,,0.74142,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H''2,E ${}^1 \Sigma_{g}^{+} \ 2 s \sigma$,1.50802486,100136.7,1454.18,30.52,10.9306,0.3659,24030,1.01128,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H''2,e ${}^3 \Sigma_{u}^{+} \ 3 p \sigma$,1.50802486,107770.8,1272.28,23.03,9.2056,0.2803,18870,1.10197,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H''2,d ${ }^{3} \Pi_{u} \ 3 p \pi$,1.50802486,112736,1372.11,22.135,10.15,0.305,21700,1.0494,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H''2,f ${}^3 \Sigma_{u}^{+} \ 4 p \sigma$,1.50802486,116653,1278,,9.9,0.3,,1.063,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H''2,k ${}^3 \Pi_{u} \ 4 p \pi$,1.50802486,118403.2,1355.39,22.026,10.053,0.296,22000,1.0545,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H''2,n ${ }^{3} \Pi_{u} \ 5 p \pi$,1.50802486,120984.3,1348.89,22.52,10.021,0.294,22000,1.0562,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H'2,X ${ }^{1} \Sigma_{g}^{+} \ 1 s \sigma$,1.00705111,0,3115.5,61.82,30.4436,1.0786,114100,0.74152,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H'2,B ${ }^{1} \Sigma_{g}^{+} \ 2 p \sigma$,1.00705111,91697.2,963.08,11.038,,0.4198,40300,1.28944,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H'2,C ${ }^{1} \Pi_{u} \ 2p \pi$,1.00705111,100097.2,1729.92,34.917,,0.5679,53200,1.03346,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H'2,E ${ }^{1} \Sigma_{g}^{+} \ 2s \sigma$,1.00705111,100128.1,1784.42,48.105,16.3696,0.6764,54000,1.01124,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H'2,B' ${ }^{1} \Sigma_{u}^{+} 3 p \sigma$,1.00705111,111642.2,1451.98,45.679,,0.92,41500,1.1092,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
H'2,"K $\left({ }^{1} \Sigma_{g}^{+}
ight)$",1.00705111,112610,1660,,6.6,,,1.59,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76
