,Train_MAE,Train_RMSE,MAE,RMSE
0,0.019431769569159228,0.02842833290688348,0.29336567929883445,0.44821482990385325
1,0.022257596871717262,0.032786635448152496,0.3161248635175881,0.42982718190472335
2,0.022174043992631867,0.03251044691207845,0.33828986555079,0.46936315075256185
3,0.025755917018876084,0.06624652817437399,0.2879290440106423,0.4546556546601723
4,0.02081174112170214,0.030879092330275075,0.3071805550368057,0.4469587487910366
5,0.0251009779350122,0.06414375857083189,0.26466187869334146,0.39237576973518795
6,0.02474937457816504,0.0731415585782539,0.4447370368455667,0.688028561882963
7,0.020044856412567126,0.02935739229996968,0.4315718462544395,0.7353476000047745
8,0.024131857349663357,0.07103032466418838,0.2716072811550992,0.45737277092192985
9,0.02767506270374481,0.06799153692474626,0.2990064638762851,0.45320346390413807
10,0.024917818124616214,0.05989679634079905,0.3778138156153571,0.545886143295699
11,0.027168310766908853,0.0676413843326272,0.5113812175494457,0.8377253038209997
12,0.025601099916161458,0.06432538228933403,0.48693498584771944,0.8586710357752257
13,0.024115086228383282,0.060126812655578565,0.33014021230473717,0.5901845274790128
14,0.026510917743805356,0.06122343261461416,0.3313680337577838,0.4400575697063365
15,0.026858778875551846,0.06276071779101407,0.3496538906868525,0.4924433094122509
16,0.025321933763333082,0.06094680406126563,0.3367555044531943,0.47302700339976206
17,0.021601478382987357,0.03226162601378451,0.3819557326699943,0.4999687173124053
18,0.021596225373937426,0.031601195582092095,0.3290153039064775,0.46813109571881495
19,0.023437567883821616,0.07259119250245907,0.3733947503760601,0.5033789774243702
20,0.026229667161762317,0.07205718052992237,0.24508626590852395,0.3741518267270516
21,0.0261928996939364,0.06255921834956805,0.28970029847831835,0.38353327616336
22,0.02606625020580062,0.06903042509719069,0.3032226306101812,0.4719579012917532
23,0.020770534392730137,0.02966863184917608,0.3031451620103555,0.4343241054243637
24,0.02437507817313915,0.06324961499611241,0.3192458423276596,0.5964616909117697
25,0.025664343265663064,0.07202049661871646,0.4032220171826194,0.727839665472283
26,0.02583023862034592,0.06639860085640431,0.3755843243702533,0.6493528630156888
27,0.02050498704568234,0.03076446361550924,0.31720754866677764,0.5213119528177821
28,0.02568486902396357,0.06497707040392087,0.27325449451312395,0.4689793044982143
29,0.027121946937771566,0.06210168917870988,0.4175443309188022,0.70058786989455
30,0.025867611512363123,0.071917437206024,0.36111999899725156,0.5609657998015118
31,0.024651231362016034,0.06799687324274634,0.3335938228369141,0.47694475131528796
32,0.025824103361500143,0.05952434626055026,0.40963111149189724,0.6264712068124042
33,0.022335760932557326,0.03307433430663564,0.32493172683902216,0.5071042297658795
34,0.0243625867694874,0.06797981768081109,0.4621574543436255,0.8226331654282236
35,0.026752520544619712,0.06569520872004696,0.3524839594928621,0.4941397452395463
36,0.02591123949306118,0.07171217380396033,0.3181994907907633,0.42695427459763746
37,0.024073584260963485,0.06339800594912773,0.3442045646868415,0.524938878933171
38,0.025524544404941896,0.06337521344298523,0.23702682542327136,0.35253909904622704
39,0.026281625831194266,0.06589199632408357,0.4359395366728809,0.7640304845651913
40,0.026538928987834533,0.06059078900728072,0.32964252214221296,0.5279315993778415
41,0.02135245611820396,0.03088927202656728,0.38174120280187496,0.6173225880085208
42,0.026129343314199922,0.07305631426035597,0.31084258659172503,0.5228652715318216
43,0.027044325866412006,0.06891808847004598,0.4929882860787029,0.8557220585619029
44,0.021882766475325444,0.032325966952980234,0.20143851943670119,0.3227158430898248
45,0.019955666158318435,0.02810539334829712,0.508205712710206,0.8063948095308728
46,0.0236262135900884,0.05988995815298434,0.3660871425928382,0.5324799404477091
47,0.02643375186288823,0.061293194818275366,0.3626785075507819,0.5454719588587061
48,0.026916501273430603,0.07880718503740776,0.4123966752474216,0.6456863243587758
49,0.0208921596660874,0.030491682643832927,0.301723091090022,0.4499412464833029
50,0.02048135553293915,0.028888126836595144,0.3931445206184348,0.5422047968297393
51,0.02474223763696998,0.06094993124128456,0.3912140865977573,0.5226386361682526
52,0.025576688258195847,0.06145097980768633,0.4143526235254495,0.6777764852520243
53,0.026232472384644517,0.05987912636248556,0.26642268119079315,0.4155231123033636
54,0.02016724384493087,0.02960426474668066,0.5518280801362763,0.8819052066055989
55,0.02678520881036025,0.06033248092553319,0.21830805628151698,0.35512183115151785
56,0.025581514522073374,0.0670835548559764,0.3513337543268941,0.6228660434641672
57,0.02147754102624936,0.03190287797283952,0.4556363733414356,0.70071841693945
58,0.026461744900775283,0.06062223981740204,0.3708084323829286,0.5283673092040174
59,0.024842721188259732,0.06494985919944367,0.41102568155445746,0.790899869259567
60,0.026788875674076017,0.07030792425357536,0.3974436632480058,0.662558469537849
61,0.024206801102315507,0.07307276936896277,0.39538636843685315,0.5636015538403619
